Trent Edwards
Marshawn Lynch
Lee Evans
Joe Klopfenstein
Bills DEF
Rian Lindell
Chad Henne
Ronnie Brown
Brandon Marshall
Anthony Fasano
Dolphins DEF
Dan Carpenter
Tom Brady
Laurence Maroney
Randy Moss
Alge Crumpler
Patriots DEF
Stephen Gotskowski
Mark Sanchez
Shonn Greene
Jerricho Cotchery
Dustin Keller
Jets DEF
Nick Folk
Joe Flacco
Ray Rice
Anquan Boldin
Todd Heap
Ravens DEF
Billy Cundiff
Carson Palmer
Cedric Benson
Chad Ochocinco
Daniel Coates
Bengals DEF
Dave Rayner
Jake Delhomme
Jerome Harrison
Joshua Cribbs
Benjamin Watson
Browns DEF
Phil Dawson
Byron Leftwich
Rashard Mendenhall
Hines Ward
Heath Miller
Steelers DEF
Jeff Reed
